package_rank,candidate_id,study,evidence_class,source_eprint_url,required_artifact,required_columns,package_acceptance_status,triage_question,acceptance_gate,closure_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,https://arxiv.org/e-print/quant-ph/0009044,beam_deflection_broadening_calibration.csv,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain beam_deflection_broadening_calibration.csv or an explicit absence note for it?,require raw beam-deflection/broadening calibration tables or an explicit absence record before treating the package as closure evidence,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,https://arxiv.org/e-print/quant-ph/0009044,kappa_uncertainty_notes.md,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain kappa_uncertainty_notes.md or an explicit absence note for it?,require raw beam-deflection/broadening calibration tables or an explicit absence record before treating the package as closure evidence,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,https://arxiv.org/e-print/quant-ph/0009044,paired_contrast_values.csv,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_contrast_values.csv or an explicit absence note for it?,require raw beam-deflection/broadening calibration tables or an explicit absence record before treating the package as closure evidence,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,https://arxiv.org/e-print/0706.3966,record_distribution.csv,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain record_distribution.csv or an explicit absence note for it?,require paired visibility/contrast values under the same settings before treating the package as closure evidence,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,https://arxiv.org/e-print/0706.3966,setting_pairing_notes.md,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain setting_pairing_notes.md or an explicit absence note for it?,require paired visibility/contrast values under the same settings before treating the package as closure evidence,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,https://arxiv.org/e-print/0706.3966,visibility_or_contrast_sweep.csv,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain visibility_or_contrast_sweep.csv or an explicit absence note for it?,require paired visibility/contrast values under the same settings before treating the package as closure evidence,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,https://arxiv.org/e-print/1402.5307,independence_provenance.md,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independence_provenance.md or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,https://arxiv.org/e-print/1402.5307,independent_record_distribution.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independent_record_distribution.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,https://arxiv.org/e-print/1402.5307,paired_visibility_or_contrast.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_visibility_or_contrast.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,https://arxiv.org/e-print/quant-ph/0307238,independence_provenance.md,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independence_provenance.md or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,https://arxiv.org/e-print/quant-ph/0307238,independent_record_distribution.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independent_record_distribution.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,https://arxiv.org/e-print/quant-ph/0307238,paired_visibility_or_contrast.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_visibility_or_contrast.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.05529,independence_provenance.md,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independence_provenance.md or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.05529,independent_record_distribution.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independent_record_distribution.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.05529,paired_visibility_or_contrast.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_visibility_or_contrast.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.04298,independence_provenance.md,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independence_provenance.md or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.04298,independent_record_distribution.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independent_record_distribution.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,https://arxiv.org/e-print/1610.04298,paired_visibility_or_contrast.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_visibility_or_contrast.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,https://arxiv.org/e-print/1508.01353,independence_provenance.md,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independence_provenance.md or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,https://arxiv.org/e-print/1508.01353,independent_record_distribution.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain independent_record_distribution.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,https://arxiv.org/e-print/1508.01353,paired_visibility_or_contrast.csv,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",not_checked,Does the extracted arXiv source package contain paired_visibility_or_contrast.csv or an explicit absence note for it?,require independently measured record-distribution provenance separate from any visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
