package_rank,candidate_id,study,required_artifact,expected_extract_dir,artifact_search_pattern,local_inspection_status,matched_file_count,matched_files,required_columns,closure_boundary,local_cache_note
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,beam|deflection|broadening|calibration|kappa,missing_cache,0,,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance,fetch and extract the arXiv source package before interpreting local inspection results
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,kappa|uncertainty|standard error|se|sigma,missing_cache,0,,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance,fetch and extract the arXiv source package before interpreting local inspection results
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,contrast|visibility|decoherence|kappa,missing_cache,0,,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance,fetch and extract the arXiv source package before interpreting local inspection results
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,record|momentum|distribution|weak|shift,missing_cache,0,,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve,fetch and extract the arXiv source package before interpreting local inspection results
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,setting|pair|which-way|visibility|contrast,missing_cache,0,,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve,fetch and extract the arXiv source package before interpreting local inspection results
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,visibility|contrast|fringe|which-way|weak,missing_cache,0,,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve,fetch and extract the arXiv source package before interpreting local inspection results
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,independent|provenance|measured|fit|visibility,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,record|distribution|momentum|correlation|width,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,visibility|contrast|fringe|coherence|setting,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,independent|provenance|measured|fit|visibility,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,record|distribution|momentum|correlation|width,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,visibility|contrast|fringe|coherence|setting,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,independent|provenance|measured|fit|visibility,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,record|distribution|momentum|correlation|width,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,visibility|contrast|fringe|coherence|setting,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted,independent|provenance|measured|fit|visibility,missing_cache,0,,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation,fetch and extract the arXiv source package before interpreting local inspection results
