candidate_id,study,no_refit_gate_score,record_distribution_independent_of_visibility_fit,visibility_curve_available,implementation_status,blocker,exhaustion_reason
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,True,True,digitized/analyzed/stress-tested,joint stress gate is below closure threshold; independent kappa calibration provenance/uncertainty is the limiting factor,stress/calibration uncertainty blocks closure
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,False,True,scout implemented,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense,record variable is visibility-derived or not an independent distribution
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,False,True,scout implemented,excellent record-load control but not an independently measured record distribution,record variable is visibility-derived or not an independent distribution
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,False,True,scout implemented,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable",record variable is visibility-derived or not an independent distribution
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,False,True,literature refresh logged,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility,record variable is visibility-derived or not an independent distribution
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,True,False,scout implemented,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate,paired visibility curve missing
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,0.5,False,True,literature refresh logged,"tests wave-particle-entanglement conservation, but not a measured momentum/record distribution that predicts visibility without refit",record variable is visibility-derived or not an independent distribution
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,0.48,False,True,literature refresh logged,"measures distinguishability/visibility duality, not a measured conjugate record distribution held out from visibility",record variable is visibility-derived or not an independent distribution
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,0.47,False,True,literature refresh logged,"useful record-accessibility analogue, but the variable is source purity/entanglement rather than a measured momentum-transfer distribution",record variable is visibility-derived or not an independent distribution
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,0.45,True,False,not implemented,measures momentum/trajectories but does not provide a visibility-loss curve to predict,paired visibility curve missing
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,0.44,True,False,literature refresh logged,characterizes measurement disturbance with weak values but does not provide a paired interference-visibility loss curve,paired visibility curve missing
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,0.43,True,False,literature refresh logged,tests error-disturbance uncertainty relations rather than record-distribution prediction of visibility,paired visibility curve missing
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,0.42,False,True,scout implemented,useful visibility-plus-phase target but no independent measured record distribution,record variable is visibility-derived or not an independent distribution
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,0.35,False,True,"source package local, not implemented",distinguishability/visibility duality is not a measured record-bandwidth distribution,record variable is visibility-derived or not an independent distribution
