candidate_id,study,clears_g11,record_distribution_independent_of_visibility_fit,visibility_curve_available,source_data_available,phase_available,blocker_class,next_evidence_needed,current_blocker,candidate_role,implementation_status,next_command,no_refit_gate_score,g11_evidence_score,primary_url,doi
XIAO_2019_INTERNAL_LEAD,Xiao et al. 2019,False,True,True,True,False,internal_lead_not_second_experiment,keep as lead benchmark; use it to validate extraction and stress-test standards,within-paper cross-figure result; cannot satisfy independent second-experiment gate,"current lead, not independent second experiment",implemented,predict-xiao-visibility-from-distribution,0.95,0.8,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,False,True,False,True,True,paired_visibility_curve_missing,obtain paired visibility or contrast sweep for the measured record distribution,"source text reports independent beam-deflection parameters, but no committed numerical digitization/prediction has validated the no-refit gate yet","new strongest public-data G11 candidate, pending digitized no-refit validation","source package local, scout pending",scout-kokorowski-multiphoton,0.84,0.7,https://arxiv.org/abs/quant-ph/0009044,https://doi.org/10.1103/PhysRevLett.86.2191
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,False,False,True,True,True,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,useful visibility-plus-phase target but no independent measured record distribution,"phase-control dataset, not record-distribution gate",scout implemented,scout-cormann-visibility-phase,0.42,0.7,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,False,False,True,True,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense,best next recoil-control scout,scout implemented,scout-eibenberger-recoil-absorption,0.7,0.6,https://arxiv.org/abs/1402.5307,https://doi.org/10.1103/PhysRevLett.112.250402
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,False,False,True,True,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,excellent record-load control but not an independently measured record distribution,best standard-decoherence no-adjustable-parameter control,scout implemented,scout-hornberger-collisional,0.68,0.6,https://arxiv.org/abs/quant-ph/0307238,https://doi.org/10.1007/s00340-003-1312-6
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,False,False,True,True,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable",strong inverse-problem near miss,scout implemented,scout-hochrainer-momentum-correlation,0.6,0.6,https://arxiv.org/abs/1610.05529,https://doi.org/10.1073/pnas.1615874114
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,False,True,False,True,False,paired_visibility_curve_missing,obtain paired visibility or contrast sweep for the measured record distribution,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate,closest pre-Xiao measured momentum-transfer candidate,scout implemented,scout-mir-weak-value,0.52,0.6,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,False,False,True,False,True,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility,theory/inverse-method near miss for momentum-correlation visibility,literature refresh logged,,0.58,0.5,https://arxiv.org/abs/1610.04298,https://doi.org/10.1103/PhysRevA.96.013822
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,False,False,True,False,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,"tests wave-particle-entanglement conservation, but not a measured momentum/record distribution that predicts visibility without refit","modern entanglement-memory control, not record-distribution gate",literature refresh logged,,0.5,0.4,https://www.nature.com/articles/s41377-025-01759-4,https://doi.org/10.1038/s41377-025-01759-4
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,False,False,True,False,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,"measures distinguishability/visibility duality, not a measured conjugate record distribution held out from visibility",modern duality-relation control,literature refresh logged,,0.48,0.4,https://www.nature.com/articles/s41534-022-00610-7,https://doi.org/10.1038/s41534-022-00610-7
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,False,False,True,False,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,"useful record-accessibility analogue, but the variable is source purity/entanglement rather than a measured momentum-transfer distribution",source-purity complementarity control,literature refresh logged,,0.47,0.4,https://pmc.ncbi.nlm.nih.gov/articles/PMC8373128/,https://doi.org/10.1126/sciadv.abi9268
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,False,True,False,False,False,paired_visibility_curve_missing,obtain paired visibility or contrast sweep for the measured record distribution,measures momentum/trajectories but does not provide a visibility-loss curve to predict,"conceptual kin, weak no-refit target",not implemented,,0.45,0.4,https://www.nist.gov/publications/observing-average-trajectories-single-photons-two-slit-interferometer,https://doi.org/10.1126/science.1202218
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,False,True,False,False,False,paired_visibility_curve_missing,obtain paired visibility or contrast sweep for the measured record distribution,characterizes measurement disturbance with weak values but does not provide a paired interference-visibility loss curve,"measurement-disturbance control, not visibility target",literature refresh logged,,0.44,0.4,https://doi.org/10.1103/PhysRevLett.109.100404,https://doi.org/10.1103/PhysRevLett.109.100404
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,False,True,False,False,False,paired_visibility_curve_missing,obtain paired visibility or contrast sweep for the measured record distribution,tests error-disturbance uncertainty relations rather than record-distribution prediction of visibility,measurement-strength disturbance control,literature refresh logged,,0.43,0.4,https://doi.org/10.1103/PhysRevLett.112.020402,https://doi.org/10.1103/PhysRevLett.112.020402
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,False,False,True,False,False,record_variable_not_independent,obtain author/supplemental record distribution or calibration not inferred from visibility,distinguishability/visibility duality is not a measured record-bandwidth distribution,complementarity control,"source package local, not implemented",,0.35,0.4,https://doi.org/10.1038/31822,https://doi.org/10.1038/31822
