candidate_id,study,evidence_class,priority_rank,candidate_preflight_passed,missing_artifact_count,missing_artifact_rows,first_missing_artifact,missing_artifacts,closure_test,first_valid_action,overclaim_boundary
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,1,False,3,3,beam_deflection_broadening_calibration.csv,beam_deflection_broadening_calibration.csv;kappa_uncertainty_notes.md;paired_contrast_values.csv,rerun kappa-uncertainty profile and joint stress gate without refitting visibility,recover raw beam-deflection/broadening calibration tables with independent kappa uncertainty provenance,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,2,False,3,3,record_distribution.csv,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,3,False,3,3,record_distribution.csv,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,4,False,3,3,record_distribution.csv,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,5,False,3,3,record_distribution.csv,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,6,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,7,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,8,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,9,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,10,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,11,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,12,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,13,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,14,False,3,3,independence_provenance.md,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
