study_id,priority,status,platform,primary_factor,secondary_factor,raw_visibility_available,conditioned_visibility_available,apparatus_knobs,cd_mapping_plan,fit_use,source_title,source_authors,year,doi_or_url,notes
KWIAT_1992_QERASER,high,metadata_only,two_photon_interferometer,marker_visibility,eraser_basis,yes,yes,polarizer_relative_orientation; half_wave_plate_path_marking,Use marker_visibility from analyzer geometry; Lambda/Gamma/Theta held approximately fixed; compare raw vs erased branches,quantum_eraser_branch_validation,Observation of a quantum eraser: A revival of coherence in a two-photon interference experiment,Kwiat; Steinberg; Chiao,1992,https://doi.org/10.1103/PhysRevA.45.7729,Best near-term source for validating reversible erasure without claiming Theta-driven collapse.
CHAPMAN_1995_SCATTER,very_high,calibrated_digitized,atom_interferometer,Lambda,eraser_postselection,yes,yes,path_separation_at_scattering; photon_wavelength; detector_momentum_acceptance,Map Lambda to path separation over photon wavelength or scattering resolution; Theta high for traced-out photon directions and lower for accessible/postselected records; Gamma fixed,spatial_distinguishability_and_eraser,Photon Scattering from Atoms in an Atom Interferometer: Coherence Lost and Regained,Chapman; Hammond; Lenef; Schmiedmayer; Rubenstein; Smith; Pritchard,1995,https://doi.org/10.1103/PhysRevLett.75.3783,Strongest candidate for Lambda sweep plus recoverability boundary; calibrated CSV and provenance at data/extracted/CHAPMAN_1995_SCATTER_DIGITIZED.csv and data/extracted/CHAPMAN_1995_DIGITIZATION.json.
XIAO_2019_MOMENTUM,very_high,calibrated_digitized,photonic_double_slit,momentum_record_bandwidth,visibility_loss,yes,no,partial_which_way_weight; reconstructed_bohmian_momentum_disturbance,Use reconstructed total mean absolute momentum disturbance as an operational conjugate-record bandwidth proxy; compare against remaining visibility without treating Bohmian ontology as required,cross_experiment_record_bandwidth,Observing momentum disturbance in double-slit which-way measurements,Xiao; Wiseman; Xu; Kedem; Li; Guo,2019,https://doi.org/10.1126/sciadv.aav9547,Second empirical target after Chapman; digitized CSV and provenance at data/extracted/XIAO_2019_MOMENTUM_VISIBILITY_DIGITIZED.csv plus data/extracted/XIAO_2019_MOMENTUM_DIGITIZATION.json plus probability-distribution artifacts under data/extracted/XIAO_2019_PROBABILITY_*.
CORMANN_2016_VISIBILITY_PHASE,medium,scout_digitized,entangled_photon_quantum_eraser,phase_control,visibility_phase,yes,yes,measurement_strength_theta; meter_purity; postselected_angle_alpha,Use caption theta and purity as no-refit eraser controls; compare visibility and phase sign against weak-value theory; not a record-bandwidth proxy,phase_control_guardrail,Revealing geometric phases in modular and weak values with a quantum eraser,Cormann; Remy; Kolaric; Caudano,2016,https://doi.org/10.1103/PhysRevA.93.042124,Scout artifacts at data/extracted/CORMANN_2016_VISIBILITY_PHASE_SCOUT.* and outputs/third_hunt_scout/cormann; useful phase-control dataset but not breakthrough-grade distribution-to-visibility test.
DURR_1998_NATURE,high,metadata_only,atom_interferometer,Lambda,distinguishability,yes,no,which_way_detector_state_overlap; microwave_state_labeling,Use reported distinguishability D as Lambda-like factor; compare against visibility duality; Theta low if information remains coherent in detector state,complementarity_validation,Origin of quantum-mechanical complementarity probed by a which-way experiment in an atom interferometer,Durr; Nonn; Rempe,1998,https://doi.org/10.1038/25653,Good conceptual anchor for visibility/distinguishability but may require figure digitization.
DURR_1998_PRL,high,metadata_only,atom_interferometer,Lambda,distinguishability,yes,no,which_way_information_control,Use reported which-way information and fringe visibility; Lambda proxy can be D; Gamma and Theta fixed,complementarity_validation,Fringe Visibility and Which-Way Information in an Atom Interferometer,Durr; Nonn; Rempe,1998,https://doi.org/10.1103/PhysRevLett.81.5705,Probably cleaner quantitative source than Nature summary if figures/tables are accessible.
HORNBERGER_2003_COLLISION,high,source_scouted,molecule_matter_wave,Theta,environment_coupling,yes,no,background_gas_pressure; collision_rate; molecular_velocity,Map Theta to pressure-derived collision probability or decoherence rate; Lambda/Gamma held by interferometer geometry,irreversible_record_load_sweep,Collisional decoherence observed in matter wave interferometry,Hornberger; Uttenthaler; Brezger; Hackermueller; Arndt; Zeilinger,2003,https://doi.org/10.1103/PhysRevLett.90.160401,Good Theta-like sweep through environmental scattering; arXiv source package includes fig2 pressure-visibility curve and fig3 decoherence-pressure comparison; ranked second in outputs/third_hunt_scout/third_dataset_scout_report.md.
HACKERMUELLER_2004_THERMAL,very_high,source_scouted,molecule_matter_wave,Theta,environment_coupling,yes,no,laser_heating_power; internal_temperature; thermal_photon_emission_rate,Map Theta to thermal photon emission load or visibility ratio; Lambda/Gamma held by Talbot-Lau geometry,irreversible_record_load_sweep,Decoherence of matter waves by thermal emission of radiation,Hackermueller; Hornberger; Brezger; Zeilinger; Arndt,2004,https://doi.org/10.1038/nature02276,Best next held-out irreversible-record test; arXiv source package includes Figure4 decoherence curves and Figure3 spectral photon-emission rate; ranked first in outputs/third_hunt_scout/third_dataset_scout_report.md.
MA_2013_CAUSAL_ERASURE,medium,metadata_only,entangled_photon_eraser,timing,eraser_basis,yes,yes,space_like_separated_choice; analyzer_basis,Use as delayed-choice/timing guardrail; not ideal for Lambda/Gamma/Theta fitting,delayed_choice_consistency,Quantum erasure with causally disconnected choice,Ma; Kofler; Qarry; Tetik; Scheidl; Ursin; Ramelow; Herbst; Ratschbacher; Fedrizzi; Jennewein; Zeilinger,2013,https://doi.org/10.1073/pnas.1213201110,Useful to prevent retrocausal overclaiming; likely not a parameter sweep.
KIM_2000_DELAYED_ERASER,medium,metadata_only,entangled_photon_eraser,timing,eraser_basis,yes,yes,which_path_or_eraser_detector; coincidence_conditioning,Use as delayed-choice guardrail and branch validation; not ideal for factorized apparatus fit,delayed_choice_consistency,A Delayed Choice Quantum Eraser,Kim; Yu; Kulik; Shih; Scully,2000,https://doi.org/10.1103/PhysRevLett.84.1,Canonical delayed-choice eraser source.
