candidate_id,study,no_refit_gate_score,evidence_class,current_blocker,next_valid_evidence,overclaim_boundary
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,raw_calibration_tables,joint stress gate is below closure threshold; independent kappa calibration provenance/uncertainty is the limiting factor,raw beam-deflection/broadening calibration tables with independent kappa uncertainty provenance,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,independent_record_distribution,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense,record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,independent_record_distribution,excellent record-load control but not an independently measured record distribution,record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,independent_record_distribution,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable",record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,independent_record_distribution,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility,record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,paired_visibility_curve,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate,paired visibility or contrast curve measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,0.5,independent_record_distribution,"tests wave-particle-entanglement conservation, but not a measured momentum/record distribution that predicts visibility without refit",record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,0.48,independent_record_distribution,"measures distinguishability/visibility duality, not a measured conjugate record distribution held out from visibility",record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,0.47,independent_record_distribution,"useful record-accessibility analogue, but the variable is source purity/entanglement rather than a measured momentum-transfer distribution",record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,0.45,paired_visibility_curve,measures momentum/trajectories but does not provide a visibility-loss curve to predict,paired visibility or contrast curve measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,0.44,paired_visibility_curve,characterizes measurement disturbance with weak values but does not provide a paired interference-visibility loss curve,paired visibility or contrast curve measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,0.43,paired_visibility_curve,tests error-disturbance uncertainty relations rather than record-distribution prediction of visibility,paired visibility or contrast curve measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,0.42,independent_record_distribution,useful visibility-plus-phase target but no independent measured record distribution,record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,0.35,independent_record_distribution,distinguishability/visibility duality is not a measured record-bandwidth distribution,record distribution measured independently of the target visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
