candidate_id,study,no_refit_gate_score,gate_id,gate,passed,blocker_or_note
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11A,independent_record_variable,True,record variable is treated as independent of the target visibility fit
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11B,paired_visibility_curve,True,paired visibility or contrast curve is available
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11D,no_refit_prediction_map,True,implemented no-refit map exists for the public candidate
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11E,null_controls,True,implemented stress/null controls exist for the public candidate
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11F,stress_threshold,False,stress/calibration uncertainty blocks closure
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,0.84,G11G,provenance_permission,False,closure-grade provenance/permission is incomplete for validation use
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11A,independent_record_variable,False,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11B,paired_visibility_curve,True,paired visibility or contrast curve is available
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11D,no_refit_prediction_map,False,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11E,null_controls,False,null controls are absent or not tied to a valid no-refit map
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11F,stress_threshold,False,record variable is visibility-derived or not an independent distribution
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,0.7,G11G,provenance_permission,False,closure-grade provenance/permission is incomplete for validation use
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11A,independent_record_variable,False,excellent record-load control but not an independently measured record distribution
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11B,paired_visibility_curve,True,paired visibility or contrast curve is available
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11D,no_refit_prediction_map,False,excellent record-load control but not an independently measured record distribution
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11E,null_controls,False,null controls are absent or not tied to a valid no-refit map
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11F,stress_threshold,False,record variable is visibility-derived or not an independent distribution
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,0.68,G11G,provenance_permission,False,closure-grade provenance/permission is incomplete for validation use
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11A,independent_record_variable,False,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable"
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11B,paired_visibility_curve,True,paired visibility or contrast curve is available
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11D,no_refit_prediction_map,False,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable"
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11E,null_controls,False,null controls are absent or not tied to a valid no-refit map
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11F,stress_threshold,False,record variable is visibility-derived or not an independent distribution
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,0.6,G11G,provenance_permission,False,closure-grade provenance/permission is incomplete for validation use
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11A,independent_record_variable,False,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11B,paired_visibility_curve,True,paired visibility or contrast curve is available
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11D,no_refit_prediction_map,False,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11E,null_controls,False,null controls are absent or not tied to a valid no-refit map
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11F,stress_threshold,False,record variable is visibility-derived or not an independent distribution
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,0.58,G11G,provenance_permission,False,closure-grade provenance/permission is incomplete for validation use
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,G11A,independent_record_variable,True,record variable is treated as independent of the target visibility fit
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,G11B,paired_visibility_curve,False,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,G11C,uncertainty_budget,False,closure-grade uncertainty budget is still missing or limiting
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,0.52,G11D,no_refit_prediction_map,False,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate
