candidate_id,study,primary_url,doi,record_variable,visibility_observable,record_distribution_independent_of_visibility_fit,visibility_curve_available,phase_available,local_source_available,candidate_role,implementation_status,next_command,no_refit_gate_score,blocker,source_basis
XIAO_2019_INTERNAL_LEAD,Xiao et al. 2019,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,reconstructed Bohmian momentum-disturbance distribution,fringe visibility in partial which-way measurements,True,True,False,False,"current lead, not independent second experiment",implemented,predict-xiao-visibility-from-distribution,0.95,within-paper cross-figure result; cannot satisfy independent second-experiment gate,arXiv abstract states momentum-change distribution was experimentally obtained and related quantitatively to visibility loss.
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,https://arxiv.org/abs/quant-ph/0009044,https://doi.org/10.1103/PhysRevLett.86.2191,spontaneous-emission recoil distribution plus independently measured photon-number width,atom-interferometer contrast versus path separation and scattered photon number,True,False,True,True,"new strongest public-data G11 candidate, pending digitized no-refit validation","source package local, scout pending",scout-kokorowski-multiphoton,0.84,"source text reports independent beam-deflection parameters, but no committed numerical digitization/prediction has validated the no-refit gate yet",arXiv source says Fig. 4 theory curves use nbar and sigma_n determined from independent beam-deflection measurements; the source package contains EPS figures.
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,https://arxiv.org/abs/1402.5307,https://doi.org/10.1103/PhysRevLett.112.250402,single-photon absorption recoil and absorbed/unabsorbed mixture,matter-wave fringe visibility reduction,False,True,False,False,best next recoil-control scout,scout implemented,scout-eibenberger-recoil-absorption,0.7,visibility reduction is used to extract absorption cross section; recoil scale is known but not an independently measured distribution in the Xiao sense,"arXiv abstract states photon absorption imparts recoil, shifted/unshifted averaging reduces visibility, and the method extracts cross section."
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,https://arxiv.org/abs/quant-ph/0307238,https://doi.org/10.1007/s00340-003-1312-6,gas-collision effective cross section / pressure-derived localization rate,C70 fringe visibility versus gas pressure,False,True,False,False,best standard-decoherence no-adjustable-parameter control,scout implemented,scout-hornberger-collisional,0.68,excellent record-load control but not an independently measured record distribution,paper reports exponential visibility decrease with gas pressure and good quantitative agreement with decoherence theory.
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,https://arxiv.org/abs/1610.05529,https://doi.org/10.1073/pnas.1615874114,conditional transverse momentum-correlation width,induced-coherence visibility profiles and FWHM,False,True,False,False,strong inverse-problem near miss,scout implemented,scout-hochrainer-momentum-correlation,0.6,"visibility profiles are used to infer the momentum-correlation width, so the record variable is not independent of the visibility observable",paper states visibility depends only on conditional momentum probability density and uses visibility FWHM to determine Delta p(q_i|q_s).
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,https://arxiv.org/abs/1610.04298,https://doi.org/10.1103/PhysRevA.96.013822,transverse momentum correlation between twin photons,single-photon interference visibility in induced-coherence geometry,False,True,True,False,theory/inverse-method near miss for momentum-correlation visibility,literature refresh logged,,0.58,visibility is used to determine the momentum correlation rather than an independently measured correlation predicting visibility,arXiv abstract and University of Vienna record state that fringe visibility diminishes as transverse momentum correlation decreases and can be used to determine the correlation.
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,weak-valued momentum-transfer distribution,"which-way interference destruction context, no clean visibility-loss sweep in scout",True,False,False,False,closest pre-Xiao measured momentum-transfer candidate,scout implemented,scout-mir-weak-value,0.52,directly measures a momentum-transfer distribution but does not yet provide the paired visibility curve needed for the no-refit gate,"arXiv abstract reports a weak-measurement double-slit which-way experiment measuring P_wv(q), a distribution for momentum transfer."
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,https://www.nature.com/articles/s41377-025-01759-4,https://doi.org/10.1038/s41377-025-01759-4,ancilla quantum-memory entanglement / path predictability,interference visibility in integrated photonic chip duality tests,False,True,False,False,"modern entanglement-memory control, not record-distribution gate",literature refresh logged,,0.5,"tests wave-particle-entanglement conservation, but not a measured momentum/record distribution that predicts visibility without refit","2025 Light: Science & Applications article reports chip demonstrations using visibility, path predictability, and entanglement measures."
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,https://www.nature.com/articles/s41534-022-00610-7,https://doi.org/10.1038/s41534-022-00610-7,polarization which-way detector distinguishability,visibility in asymmetric single-photon beam interference,False,True,False,False,modern duality-relation control,literature refresh logged,,0.48,"measures distinguishability/visibility duality, not a measured conjugate record distribution held out from visibility",npj Quantum Information article reports asymmetric beam interference using photon polarization as which-way detector and measures visibility and distinguishability.
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8373128/,https://doi.org/10.1126/sciadv.abi9268,source purity / entanglement with which-source detector,fringe visibility in double-path stimulated downconversion interferometer,False,True,False,False,source-purity complementarity control,literature refresh logged,,0.47,"useful record-accessibility analogue, but the variable is source purity/entanglement rather than a measured momentum-transfer distribution","Science Advances article reports visibility, path predictability, source purity, and entanglement in a controllable composite photon system."
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,https://www.nist.gov/publications/observing-average-trajectories-single-photons-two-slit-interferometer,https://doi.org/10.1126/science.1202218,weakly measured photon momentum field / average trajectories,"two-slit interference context, not a controlled visibility-loss sweep",True,False,False,False,"conceptual kin, weak no-refit target",not implemented,,0.45,measures momentum/trajectories but does not provide a visibility-loss curve to predict,NIST page states photon momentum was weakly measured and trajectories reconstructed by postselection in several planes.
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,https://doi.org/10.1103/PhysRevLett.109.100404,https://doi.org/10.1103/PhysRevLett.109.100404,weak-measurement error and disturbance estimates,"interferometer visibility as apparatus quality, not a visibility-loss curve",True,False,False,False,"measurement-disturbance control, not visibility target",literature refresh logged,,0.44,characterizes measurement disturbance with weak values but does not provide a paired interference-visibility loss curve,PRL article reports weak-measurement characterization before and after a measurement apparatus to test measurement-disturbance relations.
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,https://doi.org/10.1103/PhysRevLett.112.020402,https://doi.org/10.1103/PhysRevLett.112.020402,single-photon error/disturbance under variable measurement strength,"measurement-strength response, not a fringe visibility-loss curve",True,False,False,False,measurement-strength disturbance control,literature refresh logged,,0.43,tests error-disturbance uncertainty relations rather than record-distribution prediction of visibility,PRL article reports weak-probe tests of error-disturbance relations across measurement strength for a single photon polarization qubit.
