package_rank,candidate_id,study,required_artifact,source_file_hint,line_evidence_status,line_evidence_command,expected_evidence_kind,acceptance_question,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,decoh.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering && test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'beam|deflection|broadening|calibration|kappa' outputs/tmp/kokorowski_source/extracted/decoh.tex | tee outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.txt,source line numbers and short source excerpts for the required artifact,Does the source expose raw beam-deflection/broadening calibration values with uncertainty and setting provenance?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,decoh.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering && test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'kappa|uncertainty|standard error|se|sigma' outputs/tmp/kokorowski_source/extracted/decoh.tex | tee outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.txt,source line numbers and short source excerpts for the required artifact,Does the source expose kappa uncertainty assumptions and reported standard errors independently of the visibility fit?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,decoh.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering && test -f outputs/tmp/kokorowski_source/extracted/decoh.tex && rg -n -i 'contrast|visibility|decoherence|kappa' outputs/tmp/kokorowski_source/extracted/decoh.tex | tee outputs/tmp/arxiv_source_line_evidence/kokorowski-2001-multiphoton-scattering/paired-contrast-values.txt,source line numbers and short source excerpts for the required artifact,Does the source expose paired contrast or visibility values and their settings without digitizing the figure?,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,www-rev.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer && test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'record|momentum|distribution|weak|shift' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex | tee outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer/record-distribution.txt,source line numbers and short source excerpts for the required artifact,Does the source expose a measured record or momentum distribution with enough coordinates to test distribution-to-visibility links?,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,www-rev.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer && test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'setting|pair|which-way|visibility|contrast' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex | tee outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.txt,source line numbers and short source excerpts for the required artifact,Does the source document how which-way settings pair to visibility or contrast measurements?,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,www-rev.tex,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer && test -f outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex && rg -n -i 'visibility|contrast|fringe|which-way|weak' outputs/tmp/second_no_refit_sources/mir/extracted/www-rev.tex | tee outputs/tmp/arxiv_source_line_evidence/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.txt,source line numbers and short source excerpts for the required artifact,Does the source expose a visibility or contrast sweep paired to the measured record variable?,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption && test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/second_no_refit_sources/eibenberger | tee outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption/independence-provenance.txt,source line numbers and short source excerpts for the required artifact,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption && test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/second_no_refit_sources/eibenberger | tee outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption/independent-record-distribution.txt,source line numbers and short source excerpts for the required artifact,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption && test -d outputs/tmp/second_no_refit_sources/eibenberger && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/second_no_refit_sources/eibenberger | tee outputs/tmp/arxiv_source_line_evidence/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.txt,source line numbers and short source excerpts for the required artifact,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence && test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/third_hunt_sources/hornberger/extracted | tee outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence/independence-provenance.txt,source line numbers and short source excerpts for the required artifact,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence && test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/third_hunt_sources/hornberger/extracted | tee outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence/independent-record-distribution.txt,source line numbers and short source excerpts for the required artifact,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,not available,not_extracted,mkdir -p outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence && test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/third_hunt_sources/hornberger/extracted | tee outputs/tmp/arxiv_source_line_evidence/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.txt,source line numbers and short source excerpts for the required artifact,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
