candidate_id,study,evidence_class,artifact,artifact_present,status,minimum_columns,closure_test,overclaim_boundary
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,beam_deflection_broadening_calibration.csv,False,missing_required_artifact,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",rerun kappa-uncertainty profile and joint stress gate without refitting visibility,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,kappa_uncertainty_notes.md,False,missing_required_artifact,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",rerun kappa-uncertainty profile and joint stress gate without refitting visibility,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,paired_contrast_values.csv,False,missing_required_artifact,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",rerun kappa-uncertainty profile and joint stress gate without refitting visibility,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,record_distribution.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,visibility_or_contrast_sweep.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,setting_pairing_notes.md,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
