package_rank,candidate_id,study,required_artifact,receipt_template_path,receipt_verification_status,acceptance_ledger_status,accepted_receipt_present,closure_credit_allowed,acceptance_gate,blocking_reason,next_valid_action,closure_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/paired-contrast-values.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/record-distribution.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independence-provenance.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independent-record-distribution.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independence-provenance.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independent-record-distribution.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.csv,receipt_pending,awaiting_reviewed_receipt,False,False,source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,no accepted non-placeholder source-line receipt has been reviewed,"fill and pass the receipt_validation_command, then review the receipt before allowing any closure credit",do not count visibility-derived record variables as independent distribution-to-visibility validation
