rank,dataset_path,candidate_status,has_visibility_proxy,apparatus_proxy_axis_count,missing_product_axes,g12_ready,blocker,closure_gap,next_valid_evidence
1,data/extracted/CHAPMAN_1995_SCATTER.csv,proxy-rich but formal factors missing or confounded,True,3,,False,Lambda/Gamma/Theta columns are empty or unpaired to visibility,proxy-rich candidate lacks formal independently measured Lambda/Gamma/Theta rows and held-out product-law comparison,provenance map from proxy controls to Lambda/Gamma/Theta plus low-confounding held-out validation
2,data/extracted/CHAPMAN_1995_SCATTER_DIGITIZED.csv,proxy-rich but formal factors missing or confounded,True,3,,False,Lambda/Gamma/Theta columns are empty or unpaired to visibility,proxy-rich candidate lacks formal independently measured Lambda/Gamma/Theta rows and held-out product-law comparison,provenance map from proxy controls to Lambda/Gamma/Theta plus low-confounding held-out validation
3,data/extracted/KOKOROWSKI_2001_FIG3_DECAY_THEORY_CURVES.csv,single/partial apparatus-control proxy,True,2,Gamma,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Gamma axis,add independent controls for the missing product-law axes before testing held-out predictions
4,data/extracted/HORNBERGER_2003_COLLISIONAL_SCOUT.csv,single/partial apparatus-control proxy,True,2,Lambda,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Lambda axis,add independent controls for the missing product-law axes before testing held-out predictions
5,data/extracted/KOKOROWSKI_2001_FIG3_DECAY_DIGITIZED.csv,single/partial apparatus-control proxy,True,2,Gamma,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Gamma axis,add independent controls for the missing product-law axes before testing held-out predictions
6,data/extracted/KOKOROWSKI_2001_MULTIPHOTON_DIGITIZED.csv,single/partial apparatus-control proxy,True,2,Gamma,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Gamma axis,add independent controls for the missing product-law axes before testing held-out predictions
7,data/extracted/MIR_2007_WEAK_VALUE_SCOUT.csv,single/partial apparatus-control proxy,True,2,Theta,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Theta axis,add independent controls for the missing product-law axes before testing held-out predictions
8,data/extracted/CHAPMAN_1995_PHASE_GRADED.csv,single/partial apparatus-control proxy,True,1,Lambda;Theta,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Lambda/Theta axis,add independent controls for the missing product-law axes before testing held-out predictions
9,data/extracted/CHAPMAN_1995_PHASE_DIGITIZED.csv,single/partial apparatus-control proxy,True,1,Lambda;Theta,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Lambda/Theta axis,add independent controls for the missing product-law axes before testing held-out predictions
10,data/extracted/HACKERMUELLER_2004_THERMAL_DIGITIZED.csv,single/partial apparatus-control proxy,True,1,Lambda;Gamma,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Lambda/Gamma axis,add independent controls for the missing product-law axes before testing held-out predictions
11,data/extracted/EIBENBERGER_2014_RECOIL_ABSORPTION_SCOUT.csv,single/partial apparatus-control proxy,True,1,Gamma;Theta,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Gamma/Theta axis,add independent controls for the missing product-law axes before testing held-out predictions
12,data/extracted/XIAO_2019_MOMENTUM_VISIBILITY_DIGITIZED.csv,single/partial apparatus-control proxy,True,1,Gamma;Theta,False,missing Lambda/Gamma/Theta columns,partial apparatus-control candidate is missing Gamma/Theta axis,add independent controls for the missing product-law axes before testing held-out predictions
